date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:06	97183/97183	---M--	200	added ('OK')	application/javascript	etag:%2217b9f-5836fa6869680%22	http://localhost/gst/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/freelancework1/localhost/gst/wp-includes/js/jquery/jqueryb8ff.js	(from http://localhost/gst/)
14:35:06	62527/62527	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:35:03%20GMT	http://localhost/gst/our-work/	C:/My%20Web%20Sites/freelancework1/localhost/gst/our-work/index.html	(from http://localhost/gst/)
14:35:10	45419/45419	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:35:06%20GMT	http://localhost/gst/aboutus/	C:/My%20Web%20Sites/freelancework1/localhost/gst/aboutus/index.html	(from http://localhost/gst/)
14:35:10	73188/73188	---MC-	200	added ('OK')	application/json	date:Thu,%2007%20Mar%202019%2014:34:59%20GMT	http://localhost/gst/wp-json/	C:/My%20Web%20Sites/freelancework1/localhost/gst/wp-json/index.html	(from http://localhost/gst/)
14:35:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Mar%202019%2014:35:10%20GMT	http://localhost/gst/?page_id=144	C:/My%20Web%20Sites/freelancework1/localhost/gst/index7d5f.html	(from http://localhost/gst/)
14:35:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Mar%202019%2014:35:10%20GMT	http://localhost/gst/?page_id=138	C:/My%20Web%20Sites/freelancework1/localhost/gst/index66d0.html	(from http://localhost/gst/)
14:35:13	69161/69161	---M--	200	added ('OK')	image/jpeg	etag:%2210e29-55abf593d5b80%22	http://localhost/gst/wp-content/themes/GST_THEME_BASIC/images/wordpress_index.jpg	C:/My%20Web%20Sites/freelancework1/localhost/gst/wp-content/themes/GST_THEME_BASIC/images/wordpress_index.jpg	(from http://localhost/gst/)
14:35:13	45521/45521	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:35:11%20GMT	http://localhost/gst/graphic-design/	C:/My%20Web%20Sites/freelancework1/localhost/gst/graphic-design/index.html	(from http://localhost/gst/)
14:35:14	5141/5141	---M--	200	added ('OK')	image/png	etag:%221415-55ac6e7879480%22	http://localhost/gst/wp-content/themes/GST_THEME_BASIC/images/whatsapp_icon.png	C:/My%20Web%20Sites/freelancework1/localhost/gst/wp-content/themes/GST_THEME_BASIC/images/whatsapp_icon.png	(from http://localhost/gst/)
14:35:14	56151/56151	---M--	200	added ('OK')	image/jpeg	etag:%22db57-55abf5ae89a80%22	http://localhost/gst/wp-content/themes/GST_THEME_BASIC/images/mobileapp_index.jpg	C:/My%20Web%20Sites/freelancework1/localhost/gst/wp-content/themes/GST_THEME_BASIC/images/mobileapp_index.jpg	(from http://localhost/gst/)
